player,team,PA,marcel_OPS,stan_wOBA,stan_OPS,bayes_OPS,bayes_OPS_lo80,bayes_OPS_hi80,bayes_OPS_lo95,bayes_OPS_hi95,stan_delta,method
中野　拓夢,阪神,637,0.647,0.2894,0.642,0.645,0.452,0.823,0.354,0.925,-0.00212,bma_jpn
岡林　勇希,中日,577,0.696,0.3149,0.701,0.7,0.511,0.882,0.413,0.984,0.00228,bma_jpn
大山　悠輔,阪神,582,0.752,0.3339,0.746,0.754,0.555,0.926,0.458,1.028,-0.00274,bma_jpn
柳田　悠岐,ソフトバンク,264,0.768,0.3411,0.762,0.761,0.572,0.943,0.474,1.045,-0.00237,bma_jpn
近藤　健介,ソフトバンク,460,0.885,0.3892,0.875,0.88,0.684,1.055,0.587,1.157,-0.00447,bma_jpn
佐野　恵太,DeNA,579,0.702,0.3201,0.714,0.711,0.523,0.894,0.426,0.996,0.00498,bma_jpn
牧　秀悟,DeNA,501,0.812,0.3571,0.8,0.802,0.609,0.981,0.512,1.082,-0.00528,bma_jpn
浅村　栄斗,楽天,496,0.721,,,0.721,,,,,,marcel_only
村上　宗隆,ヤクルト,446,0.865,0.3752,0.842,0.849,0.651,1.023,0.554,1.124,-0.00993,bma_jpn
岡本　和真,巨人,473,0.885,0.392,0.881,0.889,0.691,1.062,0.593,1.164,-0.00168,bma_jpn
中村　晃,ソフトバンク,394,0.626,0.2888,0.641,0.627,0.45,0.821,0.352,0.923,0.00624,bma_jpn
近本　光司,阪神,625,0.719,0.3194,0.712,0.717,0.521,0.893,0.424,0.994,-0.00306,bma_jpn
中村　奨吾,ロッテ,317,0.62,0.2925,0.649,0.642,0.459,0.83,0.361,0.932,0.01251,bma_jpn
万波　中正,日本ハム,525,0.748,0.3274,0.73,0.732,0.54,0.911,0.442,1.013,-0.00753,bma_jpn
細川　成也,中日,522,0.811,0.3508,0.785,0.799,0.595,0.966,0.497,1.068,-0.01112,bma_jpn
外崎　修汰,西武,482,0.655,0.2956,0.657,0.639,0.466,0.837,0.368,0.939,0.00065,bma_jpn
中川　圭太,オリックス,411,0.708,0.3216,0.717,0.706,0.527,0.898,0.429,1.0,0.00391,bma_jpn
松本　剛,日本ハム,379,0.598,0.2814,0.623,0.611,0.433,0.804,0.335,0.906,0.01085,bma_jpn
小深田　大翔,楽天,460,0.609,0.2748,0.608,0.609,0.418,0.789,0.32,0.89,-0.00044,bma_jpn
佐藤　輝明,阪神,551,0.832,0.357,0.799,0.806,0.609,0.98,0.511,1.082,-0.01395,bma_jpn
オスナ,ヤクルト,570,0.696,0.3135,0.698,0.702,0.508,0.879,0.41,0.981,0.00092,bma_jpn
関根　大気,DeNA,190,0.625,,,0.625,,,,,,marcel_only
サンタナ,ヤクルト,390,0.798,0.3356,0.75,0.775,0.559,0.931,0.462,1.032,-0.02074,bma_jpn
ノイジー,阪神,306,0.627,,,0.627,,,,,,marcel_only
マキノン,西武,514,0.695,,,0.695,,,,,,marcel_only
ポランコ,ロッテ,344,0.708,0.3142,0.7,0.711,0.509,0.881,0.412,0.982,-0.00348,bma_jpn
辰己　涼介,楽天,499,0.714,0.3146,0.701,0.677,0.51,0.881,0.413,0.983,-0.00574,bma_jpn
大島　洋平,中日,206,0.583,0.2666,0.589,0.586,0.398,0.77,0.301,0.871,0.00254,bma_jpn
大城　卓三,巨人,271,0.685,0.3069,0.683,0.685,0.492,0.864,0.395,0.965,-0.00091,bma_jpn
長岡　秀樹,ヤクルト,434,0.653,0.3044,0.677,0.65,0.486,0.858,0.389,0.959,0.01024,bma_jpn
菊池　涼介,広島,449,0.612,0.2739,0.606,0.612,0.415,0.787,0.318,0.888,-0.00263,bma_jpn
今宮　健太,ソフトバンク,376,0.666,0.303,0.674,0.657,0.483,0.854,0.386,0.956,0.00328,bma_jpn
秋山　翔吾,広島,382,0.654,0.2902,0.644,0.638,0.453,0.825,0.356,0.926,-0.00433,bma_jpn
紅林　弘太郎,オリックス,481,0.685,0.3114,0.693,0.686,0.503,0.874,0.405,0.976,0.00358,bma_jpn
桑原　将志,DeNA,413,0.686,0.3064,0.682,0.686,0.491,0.862,0.394,0.964,-0.00189,bma_jpn
吉川　尚輝,巨人,510,0.69,0.3075,0.684,0.681,0.494,0.865,0.396,0.967,-0.00253,bma_jpn
宗　佑磨,オリックス,388,0.626,0.2896,0.642,0.638,0.452,0.823,0.354,0.925,0.00705,bma_jpn
山口　航輝,ロッテ,226,0.676,0.2869,0.636,0.663,0.446,0.817,0.348,0.919,-0.01709,bma_jpn
野村　佑希,日本ハム,323,0.694,0.3057,0.68,0.694,0.49,0.861,0.392,0.962,-0.00602,bma_jpn
安田　尚憲,ロッテ,322,0.643,0.2862,0.634,0.629,0.444,0.815,0.346,0.917,-0.00366,bma_jpn
木浪　聖也,阪神,338,0.591,0.2648,0.585,0.591,0.394,0.765,0.297,0.867,-0.00275,bma_jpn
石川　昂弥,中日,239,0.668,,,0.668,,,,,,marcel_only
宮﨑　敏郎,DeNA,418,0.763,,,0.763,,,,,,marcel_only
坂本　勇人,巨人,328,0.672,0.301,0.669,0.671,0.479,0.85,0.381,0.952,-0.00123,bma_jpn
森　友哉,オリックス,345,0.749,0.3396,0.759,0.742,0.569,0.94,0.471,1.042,0.00432,bma_jpn
頓宮　裕真,オリックス,428,0.709,0.3203,0.714,0.707,0.524,0.895,0.426,0.997,0.00214,bma_jpn
坂倉　将吾,広島,432,0.72,0.3213,0.716,0.703,0.526,0.897,0.428,0.999,-0.00162,bma_jpn
マルティネス,日本ハム,294,0.694,0.2993,0.665,0.68,0.475,0.846,0.377,0.947,-0.01246,bma_jpn
西川　龍馬,オリックス,467,0.698,0.3063,0.681,0.691,0.491,0.862,0.393,0.964,-0.00711,bma_jpn
小郷　裕哉,楽天,405,0.665,0.2963,0.658,0.649,0.468,0.839,0.37,0.94,-0.00302,bma_jpn
秋広　優人,巨人,150,0.694,,,0.694,,,,,,marcel_only
源田　壮亮,西武,452,0.601,0.2757,0.61,0.606,0.42,0.791,0.322,0.892,0.00385,bma_jpn
丸　佳浩,巨人,460,0.71,0.3163,0.705,0.714,0.514,0.886,0.417,0.987,-0.00229,bma_jpn
山田　哲人,ヤクルト,391,0.682,0.3111,0.692,0.693,0.502,0.873,0.404,0.975,0.00449,bma_jpn
甲斐　拓也,巨人,340,0.644,0.2787,0.617,0.627,0.427,0.798,0.329,0.899,-0.0116,bma_jpn
野間　峻祥,広島,321,0.651,0.2898,0.643,0.646,0.452,0.824,0.355,0.925,-0.00351,bma_jpn
清宮　幸太郎,日本ハム,454,0.758,0.3383,0.756,0.759,0.565,0.937,0.468,1.038,-0.0009,bma_jpn
岡島　豪郎,楽天,134,0.65,,,0.65,,,,,,marcel_only
ソト,ロッテ,433,0.7,0.2947,0.654,0.691,0.464,0.835,0.366,0.937,-0.01962,bma_jpn
栗原　陵矢,ソフトバンク,434,0.748,0.3271,0.73,0.735,0.539,0.911,0.442,1.012,-0.00783,bma_jpn
牧原　大成,ソフトバンク,368,0.667,0.2952,0.655,0.658,0.465,0.836,0.367,0.938,-0.00498,bma_jpn
デビッドソン,広島,381,0.663,,,0.663,,,,,,marcel_only
藤岡　裕大,ロッテ,373,0.692,0.3061,0.681,0.676,0.491,0.862,0.393,0.964,-0.00472,bma_jpn
森下　翔太,阪神,528,0.781,0.3507,0.785,0.791,0.594,0.966,0.497,1.067,0.0016,bma_jpn
中村　悠平,ヤクルト,304,0.598,0.2748,0.608,0.6,0.417,0.789,0.32,0.89,0.00424,bma_jpn
柳町　達,ソフトバンク,388,0.727,0.3103,0.691,0.711,0.5,0.871,0.403,0.973,-0.0156,bma_jpn
岡　大海,ロッテ,308,0.738,0.32,0.713,0.727,0.523,0.894,0.425,0.996,-0.01057,bma_jpn
杉本　裕太郎,オリックス,362,0.707,0.3033,0.674,0.691,0.484,0.855,0.386,0.957,-0.01404,bma_jpn
島内　宏明,楽天,148,0.612,,,0.612,,,,,,marcel_only
藤原　恭大,ロッテ,367,0.694,0.3051,0.679,0.67,0.488,0.859,0.391,0.961,-0.00662,bma_jpn
門脇　誠,巨人,295,0.625,0.2816,0.624,0.622,0.433,0.805,0.336,0.906,-0.00047,bma_jpn
ビシエド,DeNA,140,0.632,0.2829,0.627,0.636,0.436,0.808,0.339,0.909,-0.00223,bma_jpn
上川畑　大悟,日本ハム,222,0.594,0.2851,0.632,0.61,0.442,0.813,0.344,0.914,0.01629,bma_jpn
茶野　篤政,オリックス,110,0.622,,,0.622,,,,,,marcel_only
村林　一輝,楽天,507,0.632,0.2765,0.612,0.614,0.422,0.793,0.324,0.895,-0.00857,bma_jpn
フランコ,楽天,309,0.619,0.2762,0.611,0.613,0.421,0.792,0.323,0.894,-0.00335,bma_jpn
福永　裕基,中日,239,0.69,0.308,0.685,0.675,0.495,0.866,0.397,0.968,-0.00205,bma_jpn
中村　剛也,西武,195,0.668,0.2898,0.643,0.665,0.452,0.824,0.355,0.925,-0.01076,bma_jpn
ゴンザレス,楽天,189,0.587,0.2574,0.568,0.58,0.377,0.748,0.279,0.85,-0.00835,bma_jpn
若月　健矢,オリックス,346,0.638,0.2858,0.634,0.636,0.443,0.814,0.346,0.916,-0.00187,bma_jpn
三森　大貴,DeNA,177,0.637,0.2886,0.64,0.634,0.45,0.821,0.352,0.923,0.00134,bma_jpn
