player,team,IP,marcel_ERA,stan_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,stan_delta,method
福田　俊,日本ハム,12.4,2.63,,2.63,,,,,,marcel_only
大野　雄大,中日,66.5,3.03,3.49,3.37,1.3,5.57,0.18,6.74,0.4575,bma_jpn
齋藤　響介,オリックス,23.2,2.92,,2.92,,,,,,marcel_only
金久保　優斗,ヤクルト,9.4,3.34,3.04,3.2,0.85,5.11,0.0,6.28,-0.305,bma_jpn
国吉　佑樹,ロッテ,25.4,2.78,,2.78,,,,,,marcel_only
矢澤　宏太,日本ハム,8.5,2.94,,2.94,,,,,,marcel_only
前　佑囲斗,オリックス,3.7,2.96,,2.96,,,,,,marcel_only
高木　京介,巨人,2.0,3.19,,3.19,,,,,,marcel_only
小林　慶祐,阪神,1.0,3.11,,3.11,,,,,,marcel_only
一岡　竜司,広島,0.3,3.18,,3.18,,,,,,marcel_only
マルティネス,巨人,54.6,2.01,2.17,2.1,0.0,4.25,0.0,5.42,0.1644,bma_jpn
豆田　泰志,西武,10.7,2.87,,2.87,,,,,,marcel_only
根尾　昂,中日,8.1,3.23,,3.23,,,,,,marcel_only
齋藤　綱記,中日,35.7,2.46,2.62,2.48,0.43,4.7,0.0,5.87,0.1597,bma_jpn
渡邉　勇太朗,西武,87.8,2.65,2.85,3.04,0.66,4.93,0.0,6.1,0.2017,bma_jpn
佐々木　健,西武,16.7,2.93,3.13,3.05,0.94,5.2,0.0,6.37,0.195,bma_jpn
オスナ,ソフトバンク,35.9,3.08,3.42,3.22,1.23,5.5,0.11,6.67,0.3421,bma_jpn
梅津　晃大,中日,52.3,3.23,,3.23,,,,,,marcel_only
モイネロ,ソフトバンク,130.8,2.01,2.18,2.13,0.0,4.26,0.0,5.42,0.1659,bma_jpn
藤嶋　健人,中日,50.9,2.63,2.84,2.83,0.65,4.92,0.0,6.08,0.206,bma_jpn
澤田　圭佑,ロッテ,22.2,3.16,3.33,3.21,1.14,5.41,0.02,6.58,0.1675,bma_jpn
長谷川　威展,ソフトバンク,18.0,2.78,,2.78,,,,,,marcel_only
平野　佳寿,オリックス,14.5,3.36,,3.36,,,,,,marcel_only
山田　修義,オリックス,32.0,2.95,2.7,2.82,0.51,4.78,0.0,5.95,-0.2532,bma_jpn
野村　祐輔,広島,19.6,2.93,,2.93,,,,,,marcel_only
橋本　侑樹,中日,37.8,2.72,2.59,2.72,0.4,4.67,0.0,5.84,-0.1302,bma_jpn
山本　由伸,オリックス,164.0,2.15,,2.15,,,,,,marcel_only
西村　天裕,ロッテ,17.0,3.29,,3.29,,,,,,marcel_only
松山　晋也,中日,48.9,2.13,1.81,1.99,0.0,3.89,0.0,5.06,-0.3224,bma_jpn
岡留　英貴,阪神,18.3,2.79,,2.79,,,,,,marcel_only
中村　祐太,西武,23.2,2.71,3.02,2.85,0.83,5.1,0.0,6.27,0.3093,bma_jpn
石井　大智,阪神,48.3,1.93,2.2,2.11,0.01,4.28,0.0,5.45,0.2721,bma_jpn
山本　拓実,日本ハム,29.9,2.68,2.29,2.38,0.1,4.36,0.0,5.53,-0.3944,bma_jpn
田村　伊知郎,西武,27.3,2.88,3.03,2.98,0.84,5.11,0.0,6.28,0.1491,bma_jpn
本田　圭佑,オリックス,24.2,3.33,3.33,3.4,1.14,5.41,0.02,6.58,-0.0008,bma_jpn
松井　裕樹,楽天,57.3,2.71,,2.71,,,,,,marcel_only
笠谷　俊介,ソフトバンク,11.3,2.93,,2.93,,,,,,marcel_only
山下　舜平大,オリックス,54.1,2.45,2.09,2.41,0.0,4.17,0.0,5.34,-0.3595,bma_jpn
益田　武尚,広島,7.6,3.26,,3.26,,,,,,marcel_only
高野　脩汰,ロッテ,30.0,2.62,2.41,2.56,0.22,4.49,0.0,5.66,-0.2113,bma_jpn
ウェンデルケン,DeNA,40.6,2.68,,2.68,,,,,,marcel_only
島本　浩也,阪神,21.2,2.88,3.48,3.15,1.29,5.56,0.17,6.73,0.6028,bma_jpn
バルドナード,巨人,28.2,2.93,3.05,2.87,0.86,5.13,0.0,6.3,0.1207,bma_jpn
河野　竜生,日本ハム,35.8,2.78,2.93,2.8,0.74,5.01,0.0,6.18,0.1516,bma_jpn
Ｋ．ケラー,阪神,26.3,2.94,,2.94,,,,,,marcel_only
ターリー,楽天,16.0,3.03,,3.03,,,,,,marcel_only
村上　頌樹,阪神,160.4,2.33,2.49,2.58,0.3,4.57,0.0,5.74,0.1607,bma_jpn
岩崎　優,阪神,54.5,2.63,2.82,2.92,0.63,4.9,0.0,6.06,0.1862,bma_jpn
宇田川　優希,オリックス,26.2,2.7,,2.7,,,,,,marcel_only
佐々木　朗希,ロッテ,102.4,2.41,,2.41,,,,,,marcel_only
桐敷　拓馬,阪神,47.7,2.51,2.24,2.5,0.05,4.32,0.0,5.49,-0.2708,bma_jpn
金村　尚真,日本ハム,91.3,2.62,2.79,2.88,0.6,4.87,0.0,6.04,0.1705,bma_jpn
才木　浩人,阪神,151.0,1.99,2.16,2.2,0.0,4.24,0.0,5.41,0.1698,bma_jpn
田口　麗斗,ヤクルト,35.5,2.83,2.91,2.85,0.72,4.99,0.0,6.16,0.079,bma_jpn
高田　孝一,楽天,10.0,3.14,,3.14,,,,,,marcel_only
津留﨑　大成,楽天,21.7,3.45,3.12,3.26,0.93,5.2,0.0,6.37,-0.3265,bma_jpn
クリスキー,西武,14.0,3.03,,3.03,,,,,,marcel_only
森脇　亮介,西武,27.7,2.99,,2.99,,,,,,marcel_only
石川　達也,巨人,37.2,2.56,2.65,2.83,0.46,4.72,0.0,5.89,0.0851,bma_jpn
東　克樹,DeNA,170.9,2.35,2.49,2.66,0.3,4.57,0.0,5.74,0.141,bma_jpn
勝野　昌慶,中日,37.2,3.17,2.66,2.9,0.47,4.74,0.0,5.91,-0.5132,bma_jpn
東　晃平,オリックス,43.5,2.72,3.06,3.02,0.87,5.14,0.0,6.31,0.3435,bma_jpn
メンデス,巨人,39.8,3.09,,3.09,,,,,,marcel_only
山﨑　颯一郎,オリックス,26.6,2.93,2.59,2.66,0.41,4.67,0.0,5.84,-0.3351,bma_jpn
中川　皓太,巨人,36.8,3.06,2.74,2.86,0.55,4.82,0.0,5.99,-0.3184,bma_jpn
上茶谷　大河,ソフトバンク,29.0,3.22,3.07,3.3,0.88,5.15,0.0,6.32,-0.1463,bma_jpn
水上　由伸,西武,16.3,3.11,,3.11,,,,,,marcel_only
ペルドモ,オリックス,42.1,2.76,3.11,2.93,0.92,5.19,0.0,6.36,0.3515,bma_jpn
生田目　翼,日本ハム,27.4,3.1,3.56,3.25,1.37,5.64,0.24,6.8,0.4567,bma_jpn
床田　寛樹,広島,166.1,2.83,3.15,3.24,0.96,5.23,0.0,6.4,0.3236,bma_jpn
小木田　敦也,オリックス,28.6,2.7,,2.7,,,,,,marcel_only
アンダーソン,広島,45.0,3.29,,3.29,,,,,,marcel_only
ビーズリー,阪神,48.0,3.01,2.83,3.09,0.64,4.91,0.0,6.08,-0.1767,bma_jpn
髙橋　光成,西武,127.5,2.98,3.27,3.28,1.08,5.35,0.0,6.52,0.2895,bma_jpn
メヒア,中日,55.3,3.81,4.38,4.17,2.19,6.46,1.07,7.63,0.5738,bma_jpn
及川　雅貴,阪神,44.7,2.21,2.3,2.19,0.11,4.38,0.0,5.55,0.0939,bma_jpn
又吉　克樹,ソフトバンク,35.2,3.22,,3.22,,,,,,marcel_only
比嘉　幹貴,オリックス,10.7,3.28,,3.28,,,,,,marcel_only
菊地　吏玖,ロッテ,18.9,3.11,2.91,3.06,0.72,4.99,0.0,6.16,-0.1999,bma_jpn
大竹　耕太郎,阪神,122.0,2.79,3.16,3.15,0.97,5.24,0.0,6.41,0.3712,bma_jpn
宮城　大弥,オリックス,146.5,2.29,2.03,2.22,0.0,4.11,0.0,5.28,-0.2568,bma_jpn
内　星龍,楽天,85.4,2.88,3.13,3.12,0.95,5.21,0.0,6.38,0.2547,bma_jpn
藤井　聖,楽天,96.5,3.0,3.25,3.36,1.06,5.33,0.0,6.5,0.2544,bma_jpn
今井　達也,西武,159.2,2.31,2.32,2.27,0.13,4.4,0.0,5.57,0.0103,bma_jpn
山岡　泰輔,オリックス,40.3,3.07,2.88,3.0,0.69,4.96,0.0,6.13,-0.1889,bma_jpn
有原　航平,ソフトバンク,164.0,2.85,3.08,3.04,0.89,5.16,0.0,6.33,0.2312,bma_jpn
島内　颯太郎,広島,57.1,2.51,2.74,2.89,0.55,4.82,0.0,5.99,0.2269,bma_jpn
中村　稔弥,ロッテ,25.5,3.07,3.54,3.29,1.35,5.62,0.23,6.79,0.4729,bma_jpn
森原　康平,DeNA,42.2,2.88,3.02,2.92,0.83,5.1,0.0,6.27,0.1371,bma_jpn
藤井　皓哉,ソフトバンク,51.6,2.41,2.12,2.2,0.0,4.2,0.0,5.37,-0.2929,bma_jpn
戸郷　翔征,巨人,148.8,2.7,2.57,2.72,0.38,4.64,0.0,5.81,-0.1344,bma_jpn
田浦　文丸,ソフトバンク,16.7,2.82,,2.82,,,,,,marcel_only
ブルワー,阪神,11.3,3.09,,3.09,,,,,,marcel_only
伊藤　将司,阪神,98.0,3.14,3.49,3.38,1.3,5.57,0.18,6.74,0.3531,bma_jpn
平良　海馬,西武,75.7,2.35,2.24,2.48,0.05,4.32,0.0,5.49,-0.1089,bma_jpn
渡辺　翔太,楽天,38.6,2.91,2.68,2.84,0.49,4.76,0.0,5.93,-0.2331,bma_jpn
大津　亮介,ソフトバンク,77.3,2.63,2.98,2.89,0.79,5.06,0.0,6.23,0.3472,bma_jpn
柳　裕也,中日,95.0,3.09,3.11,3.09,0.92,5.19,0.0,6.36,0.0222,bma_jpn
馬場　皐輔,巨人,8.8,3.01,,3.01,,,,,,marcel_only
マーベル,日本ハム,21.7,3.05,,3.05,,,,,,marcel_only
佐藤　隼輔,西武,30.6,2.99,2.85,2.83,0.66,4.93,0.0,6.09,-0.1437,bma_jpn
九里　亜蓮,オリックス,155.9,2.89,3.17,3.07,0.98,5.25,0.0,6.42,0.2822,bma_jpn
髙橋　宏斗,中日,155.9,2.33,2.46,2.5,0.27,4.54,0.0,5.71,0.1315,bma_jpn
甲斐野　央,西武,35.0,2.83,3.0,3.08,0.81,5.08,0.0,6.25,0.1692,bma_jpn
中川　虎大,DeNA,23.7,2.95,2.85,2.84,0.66,4.93,0.0,6.1,-0.1027,bma_jpn
平井　克典,西武,28.2,3.15,,3.15,,,,,,marcel_only
山本　大貴,ヤクルト,25.9,2.95,3.21,2.95,1.02,5.29,0.0,6.46,0.264,bma_jpn
福　敬登,中日,15.2,2.73,3.02,2.8,0.83,5.1,0.0,6.27,0.2938,bma_jpn
加治屋　蓮,楽天,31.9,3.29,3.45,3.36,1.26,5.53,0.14,6.7,0.1622,bma_jpn
則本　昂大,楽天,79.4,3.14,3.16,3.18,0.97,5.24,0.0,6.41,0.0218,bma_jpn
鈴木　健矢,広島,37.8,2.71,3.02,2.82,0.83,5.1,0.0,6.27,0.3133,bma_jpn
玉井　大翔,日本ハム,34.1,2.93,3.26,2.96,1.08,5.34,0.0,6.51,0.3348,bma_jpn
