player,team,origin_league,prev_wOBA,bayes_wOBA,bayes_OPS,bayes_OPS_lo80,bayes_OPS_hi80,bayes_OPS_lo95,bayes_OPS_hi95,method
ヒュンメル,DeNA,MLB,,0.3144,0.7,0.539,0.853,0.457,0.939,league_avg
シーモア,オリックス,MLB,0.365,0.3293,0.735,0.607,0.863,0.544,0.928,stan_v2
モイセエフ ニキータ,ヤクルト,Independent,,0.3058,0.68,0.524,0.838,0.447,0.923,league_avg
サノー,中日,MLB,0.37,0.3399,0.76,0.633,0.895,0.565,0.96,stan_v2
ダルベック,巨人,MLB,0.355,0.325,0.725,0.578,0.877,0.496,0.956,stan_v2
カストロ,日本ハム,MLB,0.306,0.3102,0.691,0.57,0.813,0.507,0.882,stan_v2
エドポロ ケイン,日本ハム,Other,,0.3089,0.687,0.53,0.846,0.453,0.928,league_avg
ワォーターズ,楽天,MLB,,0.3113,0.693,0.532,0.851,0.444,0.932,league_avg
マッカスカー,楽天,Independent,,0.3089,0.687,0.533,0.841,0.444,0.923,league_avg
カナリオ,西武,MLB,0.272,0.3142,0.7,0.525,0.866,0.434,0.966,stan_v2
ディベイニー,阪神,MLB,0.35,0.3231,0.72,0.592,0.846,0.522,0.917,stan_v2
