player,team,origin_league,prev_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,method
コックス,DeNA,MLB,8.86,3.36,1.82,4.85,1.02,5.66,stan_v2
ルイーズ,DeNA,MLB,8.82,3.64,2.21,5.02,1.44,5.79,stan_v2
ジェリー,オリックス,MLB,3.9,3.34,1.05,5.59,0.0,6.82,stan_v2
キハダ,ヤクルト,MLB,3.26,2.76,1.28,4.24,0.51,5.0,stan_v2
リランソ,ヤクルト,AAA,3.39,4.43,2.47,6.35,1.52,7.41,stan_v2
ロング,ロッテ,MLB,3.16,3.28,1.48,5.11,0.46,6.07,stan_v2
アブレウ,中日,MLB,3.1,3.14,0.9,5.34,0.0,6.48,stan_v2
ウィットリー,巨人,MLB,1.89,2.75,0.98,4.43,0.0,5.28,stan_v2
マタ,巨人,MLB,5.48,3.14,1.05,5.3,0.0,6.4,stan_v2
ターノック,広島,MLB,2.45,2.75,1.64,3.83,1.07,4.44,stan_v2
ラオ,日本ハム,AAA,3.74,4.4,2.62,6.22,1.6,7.16,stan_v2
コントレラス,楽天,MLB,3.73,3.7,1.37,5.99,0.16,7.06,stan_v2
ワイナンス,西武,MLB,8.68,4.13,2.93,5.31,2.37,5.95,stan_v2
ルーカス,阪神,MLB,6.66,3.5,1.96,5.08,1.1,5.94,stan_v2
ラグズデール,阪神,MLB,5.22,3.79,1.46,6.09,0.39,7.31,stan_v2
モレッタ,阪神,MLB,3.72,2.9,0.85,5.0,0.0,6.05,stan_v2
