AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age
0.243,0.336,0.398,0.749,19.5,69.3,2.9,71.5,111.6,130.6,浅村　栄斗,楽天,589,2025,34
0.239,0.317,0.351,0.687,5.7,35.2,2.5,33.5,45.6,76.8,島内　宏明,楽天,340,2025,35
0.276,0.397,0.526,0.911,34.0,90.9,8.7,94.9,155.5,132.2,村上　宗隆,ヤクルト,606,2025,25
0.262,0.318,0.326,0.641,3.6,35.9,14.0,43.2,100.7,146.0,中野　拓夢,阪神,637,2025,28
0.288,0.335,0.362,0.678,2.2,27.1,13.1,33.6,76.6,137.3,岡林　勇希,中日,555,2025,23
0.281,0.333,0.363,0.69,3.0,30.4,18.1,26.5,67.8,100.4,髙部　瑛斗,ロッテ,407,2025,27
0.246,0.326,0.397,0.741,17.0,50.1,6.3,57.7,84.1,126.7,丸　佳浩,巨人,543,2025,35
0.271,0.337,0.458,0.786,17.9,75.5,5.4,44.7,130.1,127.3,佐藤　輝明,阪神,540,2025,26
0.282,0.344,0.412,0.748,12.1,48.7,3.4,39.4,78.2,120.8,坂倉　将吾,広島,492,2025,26
0.228,0.31,0.335,0.653,8.3,44.4,5.8,49.7,84.5,107.5,中村　奨吾,ロッテ,524,2025,32
0.272,0.355,0.499,0.851,29.1,81.1,1.7,62.8,102.1,140.5,岡本　和真,巨人,598,2025,28
0.278,0.355,0.374,0.733,6.4,46.2,22.4,58.5,82.7,150.1,近本　光司,阪神,606,2025,30
0.27,0.326,0.4,0.728,12.6,63.3,1.6,40.9,68.5,146.2,佐野　恵太,DeNA,584,2025,30
0.295,0.348,0.494,0.834,22.9,81.4,6.2,37.9,78.1,150.9,牧　秀悟,DeNA,577,2025,26
0.268,0.322,0.368,0.693,6.6,40.2,9.9,34.7,66.8,134.3,吉川　尚輝,巨人,552,2025,30
0.266,0.333,0.419,0.757,6.8,25.8,6.4,20.3,49.5,62.7,塩見　泰隆,ヤクルト,258,2025,31
0.275,0.318,0.358,0.659,6.2,47.8,4.1,28.8,71.5,130.8,長岡　秀樹,ヤクルト,554,2025,23
0.233,0.302,0.374,0.694,6.8,33.8,1.6,28.2,63.3,72.6,阿部　寿樹,楽天,327,2025,35
0.228,0.306,0.353,0.668,9.7,46.7,14.4,48.6,102.1,111.8,外崎　修汰,西武,535,2025,32
0.226,0.304,0.399,0.713,14.5,44.3,4.5,40.9,100.1,90.8,山田　哲人,ヤクルト,436,2025,32
0.252,0.313,0.331,0.641,3.2,29.1,3.2,29.5,56.5,94.9,宗　佑磨,オリックス,428,2025,28
0.24,0.302,0.352,0.675,5.5,23.9,1.1,19.7,34.9,63.3,ビシエド,中日,268,2025,36
0.252,0.304,0.407,0.719,18.1,68.5,2.1,37.5,89.6,134.1,オスナ,ヤクルト,557,2025,32
0.251,0.307,0.356,0.668,5.7,32.4,7.2,27.0,61.5,97.7,桑原　将志,DeNA,426,2025,31
0.24,0.318,0.463,0.793,20.9,59.4,1.1,36.4,94.9,91.1,山川　穂高,ソフトバンク,407,2025,33
0.233,0.279,0.326,0.624,7.1,37.2,4.2,28.6,72.6,113.1,菊池　涼介,広島,499,2025,35
0.287,0.328,0.374,0.687,5.1,44.5,8.2,24.0,59.4,119.1,小園　海斗,広島,475,2025,24
0.253,0.311,0.364,0.687,7.4,44.0,3.2,37.4,76.6,118.9,今宮　健太,ソフトバンク,513,2025,33
0.265,0.355,0.415,0.772,16.5,71.9,2.0,65.1,102.4,129.7,大山　悠輔,阪神,563,2025,30
0.241,0.316,0.379,0.704,9.1,43.7,1.9,34.6,73.7,80.8,マクブルーム,広島,366,2025,32
0.29,0.38,0.462,0.848,15.3,68.5,5.2,61.0,63.7,126.6,吉田　正尚,オリックス,508,2025,31
0.235,0.307,0.295,0.611,1.5,15.9,6.0,22.4,34.0,58.6,福田　周平,オリックス,272,2025,32
0.232,0.302,0.291,0.602,1.6,15.5,1.2,17.0,29.5,43.8,糸原　健斗,阪神,205,2025,32
0.268,0.321,0.356,0.658,5.5,37.9,2.6,32.1,73.2,113.3,紅林　弘太郎,オリックス,502,2025,23
0.26,0.34,0.423,0.784,13.4,57.7,2.8,43.7,74.5,104.0,柳田　悠岐,ソフトバンク,425,2025,36
0.231,0.3,0.425,0.737,21.4,60.5,1.5,43.6,92.7,104.7,ポランコ,ロッテ,482,2025,33
0.271,0.344,0.438,0.803,14.9,56.1,1.7,44.2,44.0,121.4,宮﨑　敏郎,DeNA,470,2025,36
0.245,0.293,0.307,0.63,1.4,18.0,5.0,18.9,38.7,85.8,大島　洋平,中日,337,2025,39
