AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age,data_years
0.202,0.253,0.244,0.497,1.1,28.0,9.5,40.1,80.0,112.9,中野　拓夢,阪神,645,2026,29,2
0.218,0.253,0.265,0.502,1.0,15.2,8.2,25.2,55.7,100.0,岡林　勇希,中日,534,2026,24,2
0.204,0.278,0.316,0.6,12.5,55.8,1.0,55.7,78.5,104.1,大山　悠輔,阪神,579,2026,31,2
0.182,0.246,0.295,0.564,8.2,39.4,1.5,33.1,43.4,69.9,柳田　悠岐,ソフトバンク,396,2026,37,2
0.228,0.325,0.394,0.728,16.9,60.3,5.8,76.3,71.9,109.2,近藤　健介,ソフトバンク,568,2026,32,2
0.202,0.243,0.292,0.542,7.8,49.0,0.0,30.7,49.0,112.3,佐野　恵太,DeNA,586,2026,31,2
0.233,0.27,0.398,0.662,19.7,66.7,5.5,27.2,54.1,121.3,牧　秀悟,DeNA,580,2026,27,2
0.184,0.256,0.304,0.577,14.7,52.1,1.1,54.6,80.1,99.5,浅村　栄斗,楽天,573,2026,35,2
0.203,0.303,0.386,0.68,25.0,66.3,6.1,76.8,136.2,96.7,村上　宗隆,ヤクルト,604,2026,26,2
0.217,0.286,0.417,0.703,25.7,67.9,0.4,53.4,80.2,113.4,岡本　和真,巨人,602,2026,29,2
0.154,0.207,0.188,0.416,1.5,17.0,0.0,24.9,24.8,56.5,中村　晃,ソフトバンク,367,2026,36,2
0.217,0.284,0.299,0.589,5.4,38.2,17.9,52.9,65.4,119.5,近本　光司,阪神,616,2026,31,2
0.157,0.217,0.228,0.457,5.2,26.8,1.8,34.0,60.2,73.1,中村　奨吾,ロッテ,498,2026,33,2
0.21,0.254,0.353,0.594,16.1,50.7,1.5,30.6,98.1,102.6,万波　中正,日本ハム,567,2026,25,2
0.22,0.277,0.369,0.64,18.2,55.6,0.0,42.8,123.9,112.6,細川　成也,中日,590,2026,27,2
0.171,0.233,0.265,0.51,6.9,35.2,13.2,37.6,74.9,85.2,外崎　修汰,西武,530,2026,33,2
0.175,0.214,0.261,0.475,4.3,22.4,2.6,17.7,35.9,59.6,中川　圭太,オリックス,374,2026,29,2
0.182,0.219,0.223,0.452,1.4,17.8,12.5,22.2,40.7,89.3,松本　剛,日本ハム,518,2026,32,2
0.18,0.232,0.229,0.464,2.9,21.9,24.2,33.7,63.3,84.4,小深田　大翔,楽天,534,2026,30,2
0.206,0.256,0.356,0.606,14.6,59.7,2.3,32.8,101.9,93.2,佐藤　輝明,阪神,518,2026,27,2
0.189,0.23,0.313,0.555,15.0,55.0,0.7,30.4,65.9,105.0,オスナ,ヤクルト,567,2026,33,2
0.159,0.193,0.196,0.393,1.1,10.0,3.8,12.0,21.6,45.4,関根　大気,DeNA,309,2026,30,2
0.223,0.278,0.363,0.647,13.0,50.8,1.5,38.3,79.3,100.7,サンタナ,ヤクルト,498,2026,31,2
0.146,0.184,0.198,0.388,2.8,18.3,0.4,15.0,29.2,42.7,ノイジー,阪神,306,2026,31,2
0.14,0.178,0.22,0.403,8.4,28.1,0.6,27.0,51.2,67.5,マキノン,西武,514,2026,31,1
0.164,0.217,0.32,0.553,17.9,49.0,0.0,34.2,65.3,76.6,ポランコ,ロッテ,480,2026,34,2
0.215,0.266,0.31,0.576,6.0,39.4,13.0,32.3,79.5,106.2,辰己　涼介,楽天,553,2026,29,2
0.133,0.154,0.162,0.349,0.0,7.9,2.0,7.2,15.4,44.5,大島　洋平,中日,283,2026,40,2
0.175,0.222,0.266,0.5,6.0,27.2,0.0,23.1,57.2,64.2,大城　卓三,巨人,393,2026,33,2
0.218,0.251,0.275,0.511,3.6,36.8,3.1,22.2,49.3,104.4,長岡　秀樹,ヤクルト,558,2026,24,2
0.163,0.196,0.229,0.447,5.4,24.7,3.1,20.8,50.8,82.4,菊池　涼介,広島,492,2026,36,2
0.179,0.224,0.263,0.503,5.5,32.2,1.7,28.4,55.9,86.9,今宮　健太,ソフトバンク,515,2026,34,2
0.191,0.227,0.25,0.501,3.0,25.4,5.2,24.0,68.1,107.4,秋山　翔吾,広島,542,2026,37,2
0.208,0.247,0.269,0.5,3.4,28.7,1.3,24.7,51.7,88.1,紅林　弘太郎,オリックス,505,2026,24,2
0.172,0.206,0.247,0.462,4.1,19.9,4.1,14.4,32.7,62.7,桑原　将志,DeNA,389,2026,32,2
0.204,0.244,0.278,0.529,4.5,31.8,6.5,26.3,48.1,103.0,吉川　尚輝,巨人,549,2026,31,2
0.167,0.206,0.213,0.419,1.0,15.3,1.5,16.3,28.7,58.2,宗　佑磨,オリックス,389,2026,29,2
0.155,0.198,0.237,0.422,4.6,20.4,0.4,15.5,44.5,39.7,山口　航輝,ロッテ,307,2026,25,2
0.155,0.195,0.24,0.423,4.2,14.8,1.8,13.8,40.2,37.7,野村　佑希,日本ハム,290,2026,25,2
0.159,0.204,0.228,0.423,2.5,17.2,0.5,18.1,43.5,40.2,安田　尚憲,ロッテ,302,2026,26,2
0.165,0.21,0.207,0.423,0.7,27.0,0.4,22.6,57.9,65.1,木浪　聖也,阪神,435,2026,31,2
0.187,0.217,0.277,0.479,5.3,22.7,0.0,12.9,34.2,57.0,石川　昂弥,中日,356,2026,24,2
0.196,0.255,0.33,0.609,12.1,45.6,0.7,34.6,25.6,90.1,宮﨑　敏郎,DeNA,466,2026,37,2
0.163,0.206,0.274,0.503,9.7,32.5,1.0,25.0,55.5,74.4,坂本　勇人,巨人,438,2026,37,2
0.205,0.27,0.327,0.6,9.3,39.0,3.7,37.6,44.3,81.3,森　友哉,オリックス,455,2026,30,2
0.173,0.232,0.275,0.508,7.3,25.8,0.0,24.3,42.1,54.6,頓宮　裕真,オリックス,359,2026,29,2
0.205,0.25,0.305,0.549,8.7,32.0,2.2,27.5,54.1,82.1,坂倉　将吾,広島,456,2026,27,2
0.161,0.232,0.288,0.532,10.1,44.1,0.8,34.8,72.6,67.7,マルティネス,日本ハム,453,2026,33,2
0.2,0.226,0.274,0.506,5.9,37.6,6.9,18.2,58.0,97.8,西川　龍馬,オリックス,506,2026,31,2
0.198,0.253,0.283,0.536,6.3,37.5,18.2,41.5,80.3,96.7,小郷　裕哉,楽天,556,2026,29,2
0.169,0.193,0.233,0.409,2.4,10.1,0.3,6.8,22.7,30.3,秋広　優人,巨人,216,2026,23,2
0.184,0.218,0.231,0.461,1.3,16.1,6.8,22.1,58.6,92.0,源田　壮亮,西武,516,2026,33,2
0.18,0.239,0.282,0.542,11.8,34.6,4.7,41.6,60.1,93.2,丸　佳浩,巨人,525,2026,36,2
0.148,0.202,0.272,0.486,9.8,27.6,1.6,26.1,65.0,56.9,山田　哲人,ヤクルト,401,2026,33,2
0.151,0.196,0.237,0.445,5.0,30.5,0.4,21.8,70.9,57.6,甲斐　拓也,ソフトバンク,404,2026,33,2
0.186,0.239,0.226,0.477,0.4,19.4,4.8,27.7,36.9,75.9,野間　峻祥,広島,432,2026,33,2
0.195,0.254,0.322,0.566,8.8,31.8,1.0,27.5,44.3,59.3,清宮　幸太郎,日本ハム,366,2026,26,2
0.122,0.163,0.178,0.362,1.8,12.5,0.7,11.7,21.3,28.8,岡島　豪郎,楽天,229,2026,36,2
0.165,0.216,0.299,0.538,13.3,52.9,0.0,30.0,88.6,81.8,ソト,ロッテ,481,2026,37,2
0.196,0.243,0.332,0.575,12.7,52.9,0.9,29.9,68.2,88.4,栗原　陵矢,ソフトバンク,508,2026,29,2
0.163,0.18,0.21,0.402,1.3,13.7,3.0,6.0,33.4,50.9,牧原　大成,ソフトバンク,314,2026,33,2
0.084,0.115,0.189,0.323,9.3,21.5,0.0,10.7,58.5,35.6,デビッドソン,広島,381,2026,35,1
0.173,0.244,0.233,0.485,2.3,17.8,2.1,33.9,42.1,56.6,藤岡　裕大,ロッテ,374,2026,32,2
0.203,0.265,0.317,0.57,9.8,43.2,0.3,31.2,54.4,77.2,森下　翔太,阪神,462,2026,25,2
0.14,0.195,0.177,0.39,1.2,18.5,0.0,21.2,38.1,47.2,中村　悠平,ヤクルト,363,2026,35,2
0.169,0.223,0.236,0.455,1.4,23.7,0.9,20.8,51.8,42.7,柳町　達,ソフトバンク,296,2026,28,2
0.184,0.245,0.284,0.544,4.9,23.1,8.9,28.7,42.4,68.6,岡　大海,ロッテ,399,2026,34,2
0.135,0.172,0.251,0.438,8.3,20.9,0.4,10.6,47.6,40.7,杉本　裕太郎,オリックス,295,2026,34,2
0.113,0.167,0.162,0.349,1.8,13.6,0.5,15.7,15.7,28.6,島内　宏明,楽天,246,2026,36,2
0.181,0.22,0.239,0.446,1.6,13.5,2.8,14.1,35.7,45.9,藤原　恭大,ロッテ,306,2026,25,2
0.185,0.227,0.217,0.433,0.9,14.5,6.8,19.9,42.0,58.0,門脇　誠,巨人,381,2026,25,2
0.097,0.129,0.141,0.294,1.6,5.6,0.0,6.4,9.7,19.3,ビシエド,中日,175,2026,37,2
0.151,0.205,0.173,0.378,0.4,11.0,2.7,17.7,29.2,41.2,上川畑　大悟,日本ハム,323,2026,29,2
0.133,0.159,0.154,0.304,0.2,6.8,3.0,4.4,20.5,20.3,茶野　篤政,オリックス,180,2026,26,2
0.183,0.21,0.238,0.445,3.1,31.0,5.6,15.4,55.4,76.6,村林　一輝,楽天,472,2026,28,2
0.125,0.151,0.211,0.374,6.0,19.2,0.0,8.8,31.3,36.2,フランコ,楽天,282,2026,33,2
0.192,0.228,0.265,0.493,2.9,16.9,4.1,16.4,50.1,63.8,福永　裕基,中日,369,2026,29,2
0.097,0.14,0.219,0.398,6.8,15.0,0.6,12.7,38.3,31.0,中村　剛也,西武,255,2026,42,2
0.076,0.102,0.148,0.274,2.9,8.8,0.4,4.4,22.1,16.4,ゴンザレス,オリックス,175,2026,37,2
0.141,0.165,0.202,0.37,2.8,11.3,0.6,7.8,39.8,39.5,若月　健矢,オリックス,307,2026,30,2
0.141,0.157,0.185,0.336,1.4,8.3,3.6,3.8,13.3,22.2,三森　大貴,ソフトバンク,176,2026,27,2
0.123,0.158,0.178,0.35,2.3,9.7,0.0,10.7,22.8,30.7,木下　拓哉,中日,251,2026,34,2
0.084,0.127,0.12,0.251,0.4,3.6,2.5,6.6,11.2,10.0,山﨑　剛,楽天,135,2026,30,2
0.218,0.246,0.275,0.508,2.7,35.2,7.9,15.7,34.1,89.1,小園　海斗,広島,467,2026,25,2
0.105,0.125,0.121,0.228,0.2,4.2,0.7,3.3,15.0,12.3,龍空,中日,156,2026,23,2
0.183,0.217,0.219,0.424,0.7,15.6,1.5,14.5,45.9,56.5,村松　開人,中日,369,2026,25,2
0.099,0.109,0.173,0.288,4.7,14.8,0.4,3.8,30.1,29.7,ブリンソン,巨人,294,2026,31,1
0.159,0.205,0.22,0.446,3.1,24.3,0.0,16.2,27.7,60.9,鈴木　大地,楽天,388,2026,36,2
0.094,0.116,0.122,0.262,0.6,4.1,0.4,3.5,9.5,14.5,梶谷　隆幸,巨人,134,2026,37,2
0.124,0.157,0.137,0.303,0.0,9.4,0.0,8.9,28.6,28.5,坂本　誠志郎,阪神,248,2026,32,2
0.119,0.144,0.212,0.376,5.2,16.6,0.0,7.9,27.6,32.7,中田　翔,中日,252,2026,36,2
0.136,0.17,0.162,0.337,0.6,11.6,1.8,10.9,23.3,32.9,京田　陽太,DeNA,258,2026,31,2
0.139,0.169,0.213,0.396,3.5,15.3,0.3,10.7,42.8,38.6,堂林　翔太,広島,278,2026,34,2
0.148,0.189,0.19,0.37,1.6,9.6,0.3,13.2,34.9,33.7,古賀　悠斗,西武,280,2026,26,2
0.181,0.219,0.245,0.461,3.1,24.2,1.6,17.9,33.3,60.1,佐藤　都志也,ロッテ,377,2026,28,2
0.107,0.13,0.156,0.274,0.9,4.4,0.8,3.8,13.3,11.6,濱田　太貴,ヤクルト,134,2026,25,2
0.111,0.14,0.13,0.287,0.2,6.1,1.9,4.0,18.1,23.2,上本　崇司,広島,202,2026,35,2
0.12,0.145,0.17,0.297,1.2,6.1,0.9,4.0,10.7,13.5,内山　壮真,ヤクルト,146,2026,23,2
0.178,0.218,0.224,0.445,1.4,15.4,26.9,16.2,52.3,62.5,周東　佑京,ソフトバンク,387,2026,30,2
0.102,0.114,0.147,0.258,0.8,3.9,0.4,1.7,15.1,14.9,愛斗,ロッテ,158,2026,28,2
0.115,0.136,0.137,0.268,0.0,4.2,2.3,3.9,9.7,15.5,鈴木　将平,西武,158,2026,27,2
0.082,0.131,0.116,0.292,0.7,6.9,1.0,11.7,11.3,20.3,青木　宣親,ヤクルト,187,2026,44,2
0.075,0.108,0.127,0.247,2.4,12.2,0.4,11.0,22.0,19.7,マクブルーム,広島,259,2026,33,1
0.161,0.226,0.248,0.473,3.4,16.9,0.6,25.1,37.0,41.5,佐藤　龍世,西武,307,2026,29,2
0.099,0.133,0.144,0.269,0.6,3.7,0.7,4.1,15.2,10.0,野口　智哉,オリックス,127,2026,26,2
0.08,0.119,0.134,0.274,1.9,8.0,0.7,7.9,17.6,15.2,田中　広輔,広島,170,2026,36,2
0.122,0.165,0.224,0.41,4.1,17.0,0.0,13.7,30.4,31.8,阿部　寿樹,楽天,254,2026,36,2
0.105,0.123,0.13,0.271,0.7,9.5,0.0,3.2,18.2,23.6,伏見　寅威,日本ハム,213,2026,35,2
0.113,0.166,0.134,0.315,0.3,10.5,0.8,18.3,45.2,31.4,梅野　隆太郎,阪神,289,2026,34,2
0.137,0.178,0.233,0.438,3.2,16.1,0.2,13.0,22.6,33.0,角中　勝也,ロッテ,229,2026,38,2
0.128,0.172,0.183,0.355,1.4,11.4,0.9,11.3,31.8,26.1,太田　光,楽天,254,2026,29,2
0.086,0.107,0.093,0.227,0.0,4.4,0.5,4.2,7.9,15.5,大和,DeNA,152,2026,38,2
0.145,0.169,0.193,0.371,1.6,8.3,0.0,6.5,22.0,26.9,宇佐見　真吾,中日,191,2026,32,2
0.062,0.081,0.103,0.198,1.8,7.9,0.4,5.0,16.6,15.8,ペイトン,西武,225,2026,34,1
0.14,0.167,0.175,0.331,0.8,10.1,1.0,6.4,23.1,26.6,蛭間　拓哉,西武,228,2026,25,2
0.08,0.112,0.12,0.238,1.1,3.2,0.6,4.6,9.2,10.3,加藤　豪将,日本ハム,131,2026,31,2
0.123,0.147,0.183,0.329,1.6,6.1,0.6,4.5,19.6,18.0,伊藤　裕季也,楽天,164,2026,29,2
0.089,0.122,0.119,0.248,0.4,8.3,0.0,7.0,16.4,14.9,田村　龍弘,ロッテ,183,2026,31,2
0.154,0.176,0.174,0.338,0.0,8.0,6.6,8.8,27.8,40.0,友杉　篤輝,ロッテ,314,2026,25,2
0.076,0.105,0.127,0.226,1.0,4.2,0.3,3.0,14.7,7.1,渡部　健人,西武,111,2026,27,2
0.127,0.16,0.205,0.374,2.4,8.5,1.0,6.3,12.4,18.7,塩見　泰隆,ヤクルト,154,2026,32,2
0.13,0.149,0.159,0.306,0.0,5.3,1.0,4.0,12.0,19.7,川瀬　晃,ソフトバンク,178,2026,28,2
0.102,0.118,0.12,0.233,0.0,2.1,8.5,2.5,19.8,14.1,五十幡　亮汰,日本ハム,160,2026,27,2
0.111,0.139,0.145,0.317,0.5,9.2,0.2,5.7,8.5,27.6,荻野　貴司,ロッテ,209,2026,40,2
