ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
2.59,1.15,0.6,0.6,0.3,9.6,3.9,0.5,0.7,51.1,福田　俊,日本ハム,12.4,2026,29,2
3.57,1.32,1.4,2.1,0.6,20.7,8.1,1.1,2.1,118.3,大野　雄大,中日,28.3,2026,37,2
2.88,1.11,1.2,1.4,0.5,17.9,7.9,1.1,1.4,97.5,齋藤　響介,オリックス,23.2,2026,21,2
2.85,1.15,0.3,0.3,0.2,4.8,1.9,0.3,0.4,25.3,金久保　優斗,ヤクルト,6.1,2026,26,2
2.74,1.21,1.4,1.2,0.7,18.2,7.6,1.1,1.5,104.0,国吉　佑樹,ロッテ,25.4,2026,34,2
2.9,1.19,0.5,0.5,0.2,6.7,3.0,0.3,0.5,35.4,矢澤　宏太,日本ハム,8.5,2026,25,2
2.92,1.16,0.2,0.2,0.1,2.9,1.1,0.1,0.2,15.5,前　佑囲斗,オリックス,3.7,2026,24,2
3.14,1.27,0.1,0.1,0.1,1.6,0.6,0.1,0.1,8.3,高木　京介,巨人,2.0,2026,36,1
3.07,1.24,0.1,0.1,0.0,0.8,0.3,0.0,0.1,4.1,小林　慶祐,阪神,1.0,2026,33,1
3.14,1.27,0.0,0.0,0.0,0.3,0.1,0.0,0.0,1.4,一岡　竜司,広島,0.3,2026,35,1
2.23,1.08,2.7,2.6,15.6,48.6,13.0,1.6,2.5,211.9,マルティネス,中日,53.1,2026,33,2
2.92,1.19,0.7,0.8,0.4,12.1,5.3,0.6,0.9,65.4,豆田　泰志,西武,15.5,2026,23,2
3.0,1.2,0.5,0.5,0.3,7.4,3.4,0.3,0.7,41.0,根尾　昂,中日,9.8,2026,25,2
2.58,1.22,2.4,1.9,0.8,31.2,12.2,1.3,1.8,156.3,齋藤　綱記,中日,37.6,2026,29,2
2.67,1.16,2.6,2.7,1.0,37.8,16.8,2.3,3.2,227.2,渡邉　勇太朗,西武,54.8,2026,25,2
2.68,1.15,1.0,1.1,0.5,15.8,6.3,0.8,1.2,85.4,佐々木　健,西武,20.7,2026,26,1
2.87,1.16,2.0,2.4,9.1,32.7,11.2,1.4,2.8,172.8,オスナ,ソフトバンク,42.9,2026,33,2
3.2,1.23,2.3,3.6,0.9,42.7,17.2,2.0,3.0,217.1,梅津　晃大,中日,52.3,2026,29,2
2.33,1.05,6.7,4.1,2.6,94.2,29.9,3.3,6.5,418.7,モイネロ,ソフトバンク,105.0,2026,30,2
2.45,1.08,2.5,2.5,1.5,41.4,15.1,1.7,3.2,201.8,藤嶋　健人,中日,49.7,2026,27,2
2.96,1.24,1.2,0.9,0.6,14.1,5.8,0.7,1.0,77.2,澤田　圭佑,ロッテ,18.6,2026,31,2
2.75,1.16,1.2,0.8,0.4,14.1,5.6,0.6,1.0,75.2,長谷川　威展,ソフトバンク,18.0,2026,26,2
3.1,1.42,1.4,1.3,4.0,17.8,7.2,0.7,1.4,98.1,平野　佳寿,オリックス,23.2,2026,42,2
2.72,1.21,2.0,1.8,0.8,32.2,12.0,1.5,2.0,156.7,山田　修義,オリックス,38.2,2026,34,2
2.89,1.27,0.9,1.0,0.5,14.4,5.3,0.7,1.2,81.3,野村　祐輔,広島,19.6,2026,36,2
2.54,1.21,2.0,1.5,0.7,30.2,12.6,1.7,1.6,152.1,橋本　侑樹,中日,36.3,2026,28,2
2.13,1.03,12.1,7.6,2.6,146.3,39.3,6.0,6.6,660.2,山本　由伸,オリックス,164.0,2026,27,1
3.1,1.24,1.6,1.2,0.6,23.3,9.5,0.9,1.7,119.2,西村　天裕,ロッテ,28.7,2026,32,2
2.29,1.09,2.2,2.4,0.9,42.3,14.4,2.6,1.9,189.2,松山　晋也,中日,46.2,2026,25,2
2.81,1.16,1.3,1.0,0.7,18.6,7.2,1.0,1.3,102.8,岡留　英貴,阪神,24.7,2026,26,2
2.97,1.21,0.9,1.0,0.5,15.5,6.5,0.9,1.4,88.6,中村　祐太,西武,21.3,2026,30,2
