player,team,pred_ERA
公文　克彦,西武,3.0
田中　正義,ソフトバンク,3.76
福山　博之,楽天,3.06
達　孝太,日本ハム,3.83
森原　康平,楽天,3.15
佐野　泰雄,西武,3.56
長谷川　威展,日本ハム,3.13
山本　一輝,巨人,4.05
山口　俊,巨人,3.71
土肥　星也,ロッテ,3.58
内間　拓馬,楽天,3.92
畔柳　亨丞,日本ハム,3.5
竹山　日向,ヤクルト,4.02
杉山　晃基,ヤクルト,3.89
岩下　大輝,ロッテ,3.62
阿部　翔太,オリックス,2.77
石井　大智,阪神,2.85
宇田川　優希,オリックス,2.76
福田　俊,日本ハム,3.52
奥村　政稔,ソフトバンク,3.31
オスナ,ロッテ,3.35
Ｒ．マルティネス,中日,3.13
嘉弥真　新也,ソフトバンク,2.35
椋木　蓮,オリックス,2.77
モイネロ,ソフトバンク,2.02
メネズ,日本ハム,3.55
湯浅　京己,阪神,3.31
藤井　皓哉,ソフトバンク,2.24
浜地　真澄,阪神,3.49
ロドリゲス,中日,2.77
清水　昇,ヤクルト,2.77
田口　麗斗,ヤクルト,2.7
山﨑　康晃,DeNA,3.51
山下　輝,ヤクルト,3.24
栗林　良吏,広島,2.57
才木　浩人,阪神,2.52
宮森　智志,楽天,2.57
平良　海馬,西武,2.51
平野　佳寿,オリックス,3.26
小林　慶祐,阪神,3.29
山本　由伸,オリックス,3.15
大江　竜聖,巨人,3.39
伊勢　大夢,DeNA,3.4
森脇　亮介,西武,3.53
西野　勇士,ロッテ,3.66
石山　泰稚,ヤクルト,3.41
水上　由伸,西武,2.94
井納　翔一,巨人,2.76
国吉　佑樹,ロッテ,2.9
小野　泰己,阪神,3.64
吉川　雄大,楽天,3.33
矢崎　拓也,広島,2.85
森　翔平,広島,4.33
松井　裕樹,楽天,2.67
千賀　滉大,ソフトバンク,2.87
岩崎　優,阪神,2.96
本田　圭佑,西武,2.96
小野　郁,ロッテ,2.82
加藤　貴之,日本ハム,3.77
佐々木　朗希,ロッテ,2.15
青柳　晃洋,阪神,3.24
大勢,巨人,2.48
東條　大樹,ロッテ,3.19
一岡　竜司,広島,3.37
柿木　蓮,日本ハム,3.87
近藤　大亮,オリックス,3.77
又吉　克樹,ソフトバンク,2.87
藤嶋　健人,中日,3.04
渡邊　佑樹,楽天,2.84
高梨　雄平,巨人,3.73
西　勇輝,阪神,3.76
髙橋　光成,西武,3.22
奥川　恭伸,ヤクルト,3.69
今永　昇太,DeNA,2.86
西口　直人,楽天,3.0
ブセニッツ,楽天,3.04
デラロサ,巨人,3.35
マクガフ,ヤクルト,3.19
十亀　剣,西武,3.84
北浦　竜次,日本ハム,3.43
黒木　優太,オリックス,3.28
張　奕,オリックス,2.82
今井　達也,西武,3.08
エスコバー,DeNA,3.0
加治屋　蓮,阪神,2.96
増田　達至,西武,3.44
渡邉　雄大,阪神,3.44
田上　奏大,ソフトバンク,3.43
能見　篤史,オリックス,3.02
大野　雄大,中日,4.01
髙橋　宏斗,中日,2.51
根本　悠楓,日本ハム,3.56
甲斐野　央,ソフトバンク,3.27
比嘉　幹貴,オリックス,3.08
ボー・タカハシ,西武,3.4
岩貞　祐太,阪神,3.47
武田　翔太,ソフトバンク,3.35
クリスキー,DeNA,2.91
島本　浩也,阪神,3.24
宮川　哲,西武,2.43
山岡　泰輔,オリックス,3.38
宋　家豪,楽天,2.53
谷元　圭介,中日,2.88
戸郷　翔征,巨人,2.9
森　唯斗,ソフトバンク,2.95
伊藤　将司,阪神,3.89
高橋　奎二,ヤクルト,3.73
