player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year,wOBA,wRC+,wRAA
會澤 翼,93,290,252,23,62,7,3,6,93,30,0,1,2,3,26,3,7,49,9,0.246,0.369,0.33,広島,2015,0.32608391988600255,106.78552327328185,1.9619186374346331
赤松 真人,52,9,9,13,2,1,0,0,3,0,6,3,0,0,0,0,0,2,0,0.222,0.333,0.222,広島,2015,0.24980039737397813,33.61537853496201,-0.5956753698727182
安部 友裕,26,74,70,6,17,0,0,0,17,2,1,2,3,0,1,0,0,6,1,0.243,0.243,0.254,広島,2015,0.23049057301097164,15.093650683576982,-6.264285435541879
天谷 宗一郎,30,34,28,1,6,0,0,0,6,2,3,4,0,0,6,0,0,7,1,0.214,0.214,0.353,広島,2015,0.2897137850802444,71.89977153744603,-0.9525513972969348
新井 貴浩,125,480,426,52,117,22,2,7,164,57,3,0,0,4,48,1,2,73,15,0.275,0.385,0.348,広島,2015,0.34010614568045466,120.23545658976884,9.683980273455038
石原 慶幸,83,238,216,15,52,6,0,2,64,12,1,0,8,0,14,2,0,42,10,0.241,0.296,0.287,広島,2015,0.27369434842714124,56.53414001001962,-10.313946737600292
今井 啓介,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-205.9898550679131,-0.6101500821939374
今村 猛,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,広島,2015,,,
岩本 貴裕,7,10,10,1,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0.3,0.4,0.3,広島,2015,0.31683985285527366,97.91873657629175,-0.02075041096968685
エルドレッド,79,300,264,32,60,6,0,19,123,54,1,2,0,4,31,0,1,91,3,0.227,0.466,0.307,広島,2015,0.3500574963944459,129.78066043073918,8.907487670909386
大瀬良 大地,51,23,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0.0,0.0,0.043,広島,2015,0.03137028246091818,-175.89989549917996,-6.32672594523028
菊池 涼介,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,2,92,7,0.254,0.343,0.292,広島,2015,0.2936152992014342,75.64205222330524,-15.639620584094914
木村 昇吾,72,109,93,14,25,4,2,0,33,8,2,0,8,3,5,0,0,22,1,0.269,0.355,0.297,広島,2015,0.2949634809609106,76.93521031598377,-2.5065458162032512
グスマン,34,116,100,10,23,8,1,3,42,12,0,0,0,0,15,0,1,25,2,0.23,0.42,0.336,広島,2015,0.35003105401076234,129.75529724642834,3.441295232751628
九里 亜蓮,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,広島,2015,0.0,-205.9898550679131,-0.6101500821939374
黒田 博樹,26,56,47,1,3,1,0,0,4,1,0,0,6,0,3,0,0,25,0,0.064,0.085,0.12,広島,2015,0.10665896036712182,-103.68399253422041,-11.37220230143025
小窪 哲也,69,88,71,2,21,2,0,1,26,15,1,0,2,0,15,0,0,18,2,0.296,0.366,0.419,広島,2015,0.37486271638376256,153.57349900342138,4.700373127652795
シアーホルツ,65,248,232,27,58,11,1,10,101,30,3,2,0,0,14,0,2,67,0,0.25,0.435,0.298,広島,2015,0.3346585106079404,115.01015715928456,3.7113898079517718
ジョンソン,28,64,60,5,9,1,0,0,10,1,0,0,2,0,2,0,0,29,0,0.15,0.167,0.177,広島,2015,0.16342905217542858,-49.230872153383956,-9.522221985044707
下水流 昂,5,10,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.2,広島,2015,0.18403899043738667,-29.462092264678624,-1.2907504109696872
鈴木 誠也,97,238,211,21,58,6,3,5,85,25,6,7,7,2,16,0,2,38,3,0.275,0.403,0.329,広島,2015,0.3357932976841141,116.09862989725646,3.820019006800232
梵 英心,96,332,283,24,67,15,1,6,102,27,2,2,10,2,36,0,1,49,6,0.237,0.36,0.323,広島,2015,0.31964564209401414,100.61001246318462,0.20191865394303193
田中 広輔,141,590,543,61,149,33,9,8,224,45,6,7,5,1,34,2,7,105,8,0.274,0.413,0.325,広島,2015,0.3376729378741911,117.90155587962991,10.530341137403855
堂林 翔太,33,73,69,5,18,2,0,0,20,3,1,0,1,0,3,0,0,16,1,0.261,0.29,0.292,広島,2015,0.2714400829604448,54.3718784226529,-3.3208946667453834
戸田 隆矢,34,12,11,1,1,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0.091,0.091,0.091,広島,2015,0.08365408656244849,-125.74996288462468,-2.7009004931636245
中東 直己,9,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-205.9898550679131,-1.2203001643878748
中村 恭平,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-205.9898550679131,-0.3050750410969687
野間 峻祥,127,188,170,21,41,7,6,1,63,10,8,2,6,1,10,0,1,37,2,0.241,0.371,0.286,広島,2015,0.29928168743392464,81.07717678837083,-3.546854978977356
野村 祐輔,15,27,22,0,0,0,0,0,0,0,0,0,4,0,1,0,0,12,0,0.0,0.0,0.043,広島,2015,0.03137028246091818,-175.89989549917996,-7.427026109618156
福井 優也,21,41,36,0,1,0,0,0,1,1,0,0,4,0,1,0,0,22,2,0.028,0.028,0.054,広島,2015,0.04437057969697437,-163.43018252475,-10.768346955245987
前田 健太,29,73,62,4,12,2,0,1,17,5,0,0,9,0,2,0,0,25,1,0.194,0.274,0.219,広島,2015,0.2277613216172914,12.475788884243238,-6.370165500078714
松山 竜平,100,229,202,14,56,13,0,7,90,26,1,1,0,3,23,0,1,30,8,0.277,0.446,0.349,広島,2015,0.36292722707333,142.12513569233596,9.617815588794171
丸 佳浩,143,633,530,81,132,28,1,19,219,63,15,7,4,4,94,2,1,143,4,0.249,0.413,0.361,広島,2015,0.3600517104072952,139.3669781804296,24.844796282916136
美間 優槻,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,広島,2015,0.0,-205.9898550679131,-0.9152251232909061
薮田 和樹,6,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0.0,0.0,0.0,広島,2015,0.0,-205.9898550679131,-2.4406003287757496
ロサリオ,42,136,124,9,32,5,0,2,43,12,1,1,0,0,11,0,1,23,1,0.258,0.347,0.324,広島,2015,0.3141641522924306,95.35224002484097,-0.6302055891877452
赤坂 和幸,35,49,43,2,14,2,0,0,16,8,2,0,0,0,6,0,0,8,0,0.326,0.372,0.408,中日,2015,0.3679072582491357,146.9019156565492,2.291322986248535
赤田 龍一郎,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-0.3050750410969687
荒木 雅博,97,238,211,23,53,10,0,0,63,13,9,1,6,1,20,0,0,31,1,0.251,0.299,0.315,中日,2015,0.28999482378383273,72.1693401407494,-6.603894263837173
伊藤 準規,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-0.6101500821939374
井領 雅貴,9,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-2.1355252876787807
岩田 慎司,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-0.6101500821939374
エルナンデス,138,548,498,54,135,27,2,11,199,58,5,3,10,4,35,1,0,106,13,0.271,0.4,0.317,中日,2015,0.3278788430024459,108.5071897603481,4.6480022460864765
遠藤 一星,41,165,140,16,38,4,0,4,54,14,3,3,4,3,11,0,7,25,1,0.271,0.386,0.348,中日,2015,0.3410462799219076,121.13722090603676,3.47721449229209
大島 洋平,142,620,565,70,147,20,4,6,193,27,22,8,10,1,39,1,5,65,5,0.26,0.342,0.313,中日,2015,0.3050459980284366,86.60622718651663,-8.279312365366508
大野 雄大,28,69,62,0,7,1,0,0,8,2,0,0,6,0,1,0,0,30,0,0.113,0.129,0.127,中日,2015,0.12016975926827918,-90.72461312207818,-13.120654026167031
小笠原 道大,53,59,51,2,15,3,0,0,18,8,0,0,0,1,7,1,0,10,1,0.294,0.353,0.373,中日,2015,0.34028780974555317,120.40970635563295,1.2005725752788468
岡田 俊哉,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-0.3050750410969687
小熊 凌祐,13,10,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0.0,0.0,0.111,中日,2015,0.08016849962234646,-129.09329172559504,-2.2840837443030204
桂 依央利,47,113,105,8,24,1,1,2,33,7,1,0,5,0,3,0,0,33,2,0.229,0.314,0.25,中日,2015,0.2590952958809169,42.53092211088298,-6.474590755068569
亀澤 恭平,107,376,331,30,89,6,2,0,99,12,9,8,27,1,15,0,2,44,3,0.269,0.299,0.304,中日,2015,0.2814336801866328,63.95760455874453,-13.511424621514662
工藤 隆人,13,7,6,2,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0.167,0.167,0.286,中日,2015,0.23453020696972166,18.96841408880619,-0.5655252876787809
杉山 翔大,64,161,153,8,28,3,0,3,40,17,1,1,3,0,3,1,2,33,3,0.183,0.261,0.209,中日,2015,0.21826833661626194,3.3702433660150146,-15.510879084966394
鈴木 翔太,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-0.3050750410969687
高橋 周平,51,172,154,10,32,6,1,4,52,18,2,1,1,0,16,0,1,42,5,0.208,0.338,0.287,中日,2015,0.29278930296856964,74.84976757359625,-4.312907068678626
武山 真吾,11,27,22,1,2,0,0,0,2,0,0,0,1,0,4,0,0,8,1,0.091,0.091,0.231,中日,2015,0.18178676502993613,-31.622397054228692,-3.543179955772001
谷 哲也,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-0.3050750410969687
谷繁 元信,30,52,47,4,13,2,0,1,18,4,0,0,2,0,3,0,0,9,0,0.277,0.383,0.32,中日,2015,0.324368720645894,105.1403268727877,0.2664978629576273
堂上 直倫,43,43,38,3,6,0,0,1,9,1,0,0,1,0,4,0,0,8,0,0.158,0.237,0.238,中日,2015,0.2305466790381765,15.147466841982935,-3.6377505766934632
友永 翔太,7,20,18,0,1,0,0,0,1,0,2,0,1,0,1,0,0,7,1,0.056,0.056,0.105,中日,2015,0.08640586572568693,-123.11049274701651,-4.448869242992005
ナニータ,52,169,156,9,48,12,0,0,60,15,1,0,1,1,9,0,2,24,4,0.308,0.385,0.351,中日,2015,0.3396579987881558,119.80560002450117,3.337139483183715
ネイラー,10,17,14,2,1,0,0,1,4,1,0,0,2,0,1,0,0,9,0,0.071,0.286,0.133,中日,2015,0.19449575125769275,-19.432105741767536,-2.0242756986484673
野本 圭,10,16,14,1,2,1,0,0,3,0,0,0,0,0,2,1,0,6,0,0.143,0.214,0.25,中日,2015,0.2307022855980025,15.296722593811982,-1.3512006575514988
バルデス,22,45,45,2,6,2,0,0,8,2,0,0,0,0,0,0,0,13,1,0.133,0.178,0.133,中日,2015,0.1408177123801216,-70.91936989271098,-7.668376849363592
濱田 達郎,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-1.5253752054848435
平田 良介,130,559,491,76,139,27,3,13,211,53,11,7,1,0,64,1,3,86,5,0.283,0.43,0.369,中日,2015,0.3696408730833997,148.56477605112,27.066546650450398
福田 永将,79,185,169,12,41,6,2,6,69,23,0,0,0,2,14,0,0,62,7,0.243,0.408,0.297,中日,2015,0.3215030029508156,102.39156840407644,0.4411173970607969
福谷 浩司,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-0.3050750410969687
藤井 淳志,118,315,275,28,81,9,3,6,114,45,3,0,11,4,23,1,2,69,4,0.295,0.415,0.349,中日,2015,0.3496135426894435,129.3548259152051,9.219125212349617
松井 雅人,51,146,133,4,18,4,0,0,22,7,2,1,6,0,5,0,2,43,3,0.135,0.165,0.179,中日,2015,0.1664865704890158,-46.29814107099358,-21.295670285871715
松井 佑介,30,32,31,0,6,0,0,0,6,0,0,0,1,0,0,0,0,6,0,0.194,0.194,0.194,中日,2015,0.1781022488103742,-35.15653622607326,-4.312078734457836
武藤 祐太,8,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-1.8304502465818122
森野 将彦,82,252,206,25,54,8,0,0,62,10,2,0,3,3,37,1,3,38,0,0.262,0.301,0.378,中日,2015,0.3289470180942063,109.53176916486701,2.3948245833229147
八木 智哉,14,17,16,1,2,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0.125,0.125,0.176,中日,2015,0.15070037652794027,-61.44004929654798,-2.736275698648468
山井 大介,33,38,33,1,4,0,0,0,4,2,0,0,4,0,1,0,0,15,0,0.121,0.121,0.147,中日,2015,0.12947930309849565,-81.79502194598508,-6.887557444037752
雄太,3,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,中日,2015,0.0,-205.9898550679131,-1.5253752054848435
吉見 一起,8,17,15,0,2,0,0,0,2,0,0,0,1,0,1,0,0,6,0,0.133,0.133,0.188,中日,2015,0.16011915006093655,-52.40568643583763,-2.583150698648468
ルナ,134,564,496,61,145,26,1,8,197,60,11,0,0,6,57,2,5,77,13,0.292,0.397,0.367,中日,2015,0.35443598688260813,133.9804505322475,19.10767682130967
若松 駿太,23,47,41,0,3,0,0,0,3,1,0,0,4,0,2,0,0,24,0,0.073,0.073,0.116,中日,2015,0.097758554645652,-112.22114385372141,-9.944573443185435
和田 一浩,79,234,218,16,65,8,0,5,88,26,1,0,0,0,14,0,2,40,9,0.298,0.404,0.346,中日,2015,0.3464137174316777,126.28559589621709,6.132440383309322
赤堀 大智,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-205.9898550679131,-0.3050750410969687
安部 建輝,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-205.9898550679131,-0.3050750410969687
荒波 翔,70,207,188,29,56,15,2,4,87,14,4,3,1,1,16,0,1,26,2,0.298,0.463,0.354,DeNA,2015,0.3718241408191354,150.65893755501622,10.455049017199318
石川 雄洋,89,375,343,43,89,8,1,1,102,18,6,3,9,0,16,1,7,82,2,0.259,0.297,0.306,DeNA,2015,0.28421818754208933,66.6284671449807,-12.47691090316654
石田 健大,12,24,22,0,1,0,0,0,1,0,0,0,2,0,0,0,0,8,1,0.045,0.045,0.045,DeNA,2015,0.041827043281224247,-165.86990897626885,-6.361800986327248
井手 正太郎,40,102,98,8,25,7,0,4,44,13,0,0,0,1,3,0,0,28,0,0.255,0.449,0.275,DeNA,2015,0.324774689007153,105.5297263495596,0.5623458081091979
井納 翔一,21,42,40,1,4,0,0,0,4,1,0,0,2,0,0,0,0,18,0,0.1,0.1,0.1,DeNA,2015,0.09201949521869333,-117.72597366629584,-9.117151726072684
内村 賢介,28,46,39,8,7,0,0,0,7,1,2,1,5,0,2,0,0,9,0,0.179,0.179,0.22,DeNA,2015,0.19230238191489685,-21.53595657340254,-5.573939695338608
エレラ,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-205.9898550679131,-0.3050750410969687
乙坂 智,52,138,124,11,28,1,2,3,42,10,2,3,4,1,9,0,0,25,0,0.226,0.339,0.276,DeNA,2015,0.28389325271845856,66.31679396455257,-4.634385522127952
加賀 繁,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,DeNA,2015,,,
梶谷 隆幸,134,578,520,70,143,35,2,13,221,66,28,13,2,2,54,0,0,132,4,0.275,0.425,0.342,DeNA,2015,0.35235290062729224,131.98238177788653,18.4305498570632
国吉 佑樹,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,DeNA,2015,0.0,-205.9898550679131,-0.3050750410969687
久保 康友,21,34,28,1,2,0,0,0,2,0,0,0,5,0,1,0,0,17,0,0.071,0.071,0.103,DeNA,2015,0.08834160003362017,-121.25376202952663,-7.500137604193487
倉本 寿彦,102,265,245,11,51,4,0,2,61,20,0,0,7,1,10,0,2,60,8,0.208,0.249,0.244,DeNA,2015,0.2319131217588809,16.458140606881575,-22.072405270541672
黒羽根 利規,63,149,129,8,23,3,0,1,29,7,0,1,7,2,11,0,0,32,2,0.178,0.225,0.239,DeNA,2015,0.22253754365468248,7.465210229531906,-13.746462813589185
桑原 将志,60,116,103,14,19,4,1,1,28,5,1,1,8,0,5,0,0,26,1,0.184,0.272,0.222,DeNA,2015,0.2293709850306024,14.01975671705246,-9.943889952433553
小杉 陽太,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,DeNA,2015,0.0,-205.9898550679131,-0.9152251232909061
後藤 武敏 Ｇ．,70,76,68,4,14,4,0,4,30,11,0,0,0,0,8,1,0,17,2,0.206,0.441,0.289,DeNA,2015,0.33406599041714624,114.44181963771887,1.0942968766303771
下園 辰哉,53,84,74,8,21,4,0,1,28,8,0,0,2,0,8,0,0,14,2,0.284,0.378,0.354,DeNA,2015,0.34150250581438574,121.5748267413039,1.8068672795619454
白崎 浩之,81,238,204,25,46,9,1,6,75,9,2,4,22,0,11,0,1,45,1,0.225,0.368,0.269,DeNA,2015,0.292208371811886,74.29254610010125,-6.100082003300775
