year,league,team,G,W,L,D,actual_WPCT,RS,RA,pyth_WPCT_npb,pyth_WPCT_mlb,pyth_W_npb,pyth_W_mlb,diff_W_npb,diff_W_mlb
2015,CL,ヤクルト,143,76,65,2,0.539,574,518,0.544,0.547,76.7,77.1,0.7,1.1
2015,CL,巨人,143,75,67,1,0.528,489,443,0.542,0.545,77.0,77.4,2.0,2.4
2015,CL,阪神,143,70,71,2,0.496,465,550,0.428,0.424,60.4,59.8,-9.6,-10.2
2015,CL,広島,143,69,71,3,0.493,506,474,0.528,0.53,73.9,74.2,4.9,5.2
2015,CL,中日,143,62,77,4,0.446,473,504,0.473,0.471,65.7,65.5,3.7,3.5
2015,CL,DeNA,143,62,80,1,0.437,508,598,0.43,0.426,61.1,60.5,-0.9,-1.5
2015,PL,ソフトバンク,143,90,49,4,0.647,651,491,0.619,0.626,86.0,87.0,-4.0,-3.0
2015,PL,日本ハム,143,79,62,2,0.56,615,581,0.524,0.526,73.9,74.2,-5.1,-4.8
2015,PL,ロッテ,143,73,69,1,0.514,561,563,0.498,0.498,70.8,70.8,-2.2,-2.2
2015,PL,西武,143,69,69,5,0.5,631,573,0.541,0.544,74.7,75.1,5.7,6.1
2015,PL,オリックス,143,61,80,2,0.433,519,548,0.477,0.475,67.2,67.0,6.2,6.0
2015,PL,楽天,143,57,83,3,0.407,463,612,0.382,0.375,53.5,52.5,-3.5,-4.5
2016,CL,広島,143,89,52,2,0.631,684,497,0.634,0.642,89.4,90.5,0.4,1.5
2016,CL,巨人,143,71,69,3,0.507,519,543,0.481,0.479,67.3,67.1,-3.7,-3.9
2016,CL,DeNA,143,69,71,3,0.493,572,588,0.488,0.487,68.3,68.2,-0.7,-0.8
2016,CL,阪神,143,64,76,3,0.457,506,546,0.467,0.465,65.4,65.1,1.4,1.1
2016,CL,ヤクルト,143,64,78,1,0.451,594,694,0.433,0.429,61.6,61.0,-2.4,-3.0
2016,CL,中日,143,58,82,3,0.414,500,573,0.442,0.438,61.8,61.3,3.8,3.3
2016,PL,日本ハム,143,87,53,3,0.621,619,467,0.619,0.626,86.6,87.7,-0.4,0.7
2016,PL,ソフトバンク,143,83,54,6,0.606,637,479,0.62,0.628,85.0,86.0,2.0,3.0
2016,PL,ロッテ,143,72,68,3,0.514,583,582,0.501,0.501,70.1,70.1,-1.9,-1.9
2016,PL,西武,143,64,76,3,0.457,619,618,0.501,0.501,70.1,70.1,6.1,6.1
2016,PL,楽天,143,62,78,3,0.443,544,654,0.421,0.417,59.0,58.3,-3.0,-3.7
2016,PL,オリックス,143,57,83,3,0.407,499,635,0.398,0.391,55.7,54.8,-1.3,-2.2
2017,CL,広島,143,88,51,4,0.633,736,540,0.63,0.638,87.6,88.7,-0.4,0.7
2017,CL,阪神,143,78,61,4,0.561,589,528,0.547,0.55,76.0,76.4,-2.0,-1.6
2017,CL,DeNA,143,73,65,5,0.529,597,598,0.499,0.499,68.9,68.9,-4.1,-4.1
2017,CL,巨人,143,72,68,3,0.514,536,504,0.526,0.528,73.7,73.9,1.7,1.9
2017,CL,中日,143,59,79,5,0.428,487,623,0.396,0.389,54.6,53.7,-4.4,-5.3
2017,CL,ヤクルト,143,45,96,2,0.319,473,653,0.365,0.357,51.4,50.3,6.4,5.3
2017,PL,ソフトバンク,143,94,49,0,0.657,638,483,0.617,0.625,88.3,89.3,-5.7,-4.7
2017,PL,西武,143,79,61,3,0.564,690,560,0.589,0.594,82.4,83.2,3.4,4.2
2017,PL,楽天,143,77,63,3,0.55,585,528,0.544,0.547,76.2,76.5,-0.8,-0.5
2017,PL,オリックス,143,63,79,1,0.444,539,598,0.455,0.453,64.7,64.3,1.7,1.3
2017,PL,日本ハム,143,60,83,0,0.42,509,596,0.433,0.428,61.9,61.2,1.9,1.2
2017,PL,ロッテ,143,54,87,2,0.383,479,647,0.374,0.366,52.7,51.6,-1.3,-2.4
2018,CL,広島,143,82,59,2,0.582,721,651,0.544,0.547,76.7,77.1,-5.3,-4.9
2018,CL,ヤクルト,143,75,66,2,0.532,658,665,0.495,0.495,69.9,69.8,-5.1,-5.2
2018,CL,巨人,143,67,71,5,0.486,625,575,0.536,0.538,73.9,74.3,6.9,7.3
2018,CL,DeNA,143,67,74,2,0.475,572,642,0.451,0.447,63.5,63.1,-3.5,-3.9
2018,CL,中日,143,63,78,2,0.447,598,654,0.462,0.459,65.1,64.7,2.1,1.7
2018,CL,阪神,143,62,79,2,0.44,577,628,0.464,0.461,65.4,65.0,3.4,3.0
2018,PL,西武,143,88,53,2,0.624,792,653,0.582,0.587,82.1,82.8,-5.9,-5.2
2018,PL,ソフトバンク,143,82,60,1,0.577,685,579,0.572,0.576,81.2,81.8,-0.8,-0.2
2018,PL,日本ハム,143,74,66,3,0.529,589,586,0.502,0.502,70.3,70.3,-3.7,-3.7
2018,PL,オリックス,143,65,73,5,0.471,538,565,0.479,0.478,66.1,65.9,1.1,0.9
2018,PL,ロッテ,143,59,81,3,0.421,534,628,0.431,0.426,60.3,59.7,1.3,0.7
2018,PL,楽天,143,58,82,3,0.414,520,583,0.451,0.448,63.1,62.7,5.1,4.7
