team,league,p_pennant,p_cs,p_last,median_wins,mean_wins,wins_80ci_lo,wins_80ci_hi,wins_95ci_lo,wins_95ci_hi,pf_5yr
巨人,CL,0.4257,0.8522,0.0059,74.1,74.2,69.3,79.2,66.9,82.2,0.981
中日,CL,0.1996,0.6879,0.0224,71.9,71.9,67.1,76.9,64.6,79.7,0.844
阪神,CL,0.2324,0.6677,0.0294,71.8,72.0,66.5,77.5,63.9,80.7,0.942
DeNA,CL,0.0769,0.4274,0.0586,69.5,69.6,64.8,74.4,62.5,77.1,1.102
広島,CL,0.0647,0.3437,0.1026,68.6,68.7,63.7,73.8,61.2,76.9,0.996
ヤクルト,CL,0.0007,0.0211,0.7811,62.4,62.5,58.4,66.8,56.4,69.2,1.129
ソフトバンク,PL,0.4995,0.9169,0.0006,79.9,79.9,74.8,85.0,72.1,87.9,1.007
日本ハム,PL,0.2406,0.8061,0.0026,77.5,77.6,72.6,82.7,70.0,85.3,1.147
オリックス,PL,0.1849,0.7502,0.0034,76.8,76.8,72.0,81.7,69.7,84.4,0.943
西武,PL,0.0743,0.4993,0.0115,74.6,74.6,69.8,79.4,67.6,82.2,0.962
楽天,PL,0.0006,0.0199,0.3443,66.8,66.8,62.5,71.2,60.4,73.7,0.908
ロッテ,PL,0.0001,0.0076,0.6376,64.9,65.0,60.5,69.5,58.3,72.0,1.097
