year,date,home_team,away_team,home_score,away_score,stadium
2019,2019/03/29,DeNA,中日,8,1,横浜スタジアム
2019,2019/03/29,阪神,ヤクルト,2,1,甲子園
2019,2019/03/29,広島,巨人,5,0,マツダスタジアム
2019,2019/03/29,日本ハム,オリックス,7,3,札幌ドーム
2019,2019/03/29,ロッテ,楽天,5,4,ZOZOマリン
2019,2019/03/29,ソフトバンク,西武,5,4,PayPayドーム
2019,2019/03/30,DeNA,中日,1,9,横浜スタジアム
2019,2019/03/30,阪神,ヤクルト,1,0,甲子園
2019,2019/03/30,広島,巨人,2,5,マツダスタジアム
2019,2019/03/30,日本ハム,オリックス,4,4,札幌ドーム
2019,2019/03/30,ロッテ,楽天,3,9,ZOZOマリン
2019,2019/03/30,ソフトバンク,西武,6,5,PayPayドーム
2019,2019/03/31,DeNA,中日,3,2,横浜スタジアム
2019,2019/03/31,阪神,ヤクルト,1,2,甲子園
2019,2019/03/31,広島,巨人,3,6,マツダスタジアム
2019,2019/03/31,日本ハム,オリックス,3,1,札幌ドーム
2019,2019/03/31,ロッテ,楽天,4,9,ZOZOマリン
2019,2019/03/31,ソフトバンク,西武,3,1,PayPayドーム
2019,2019/04/02,巨人,阪神,9,3,東京ドーム
2019,2019/04/02,ヤクルト,DeNA,5,2,神宮球場
2019,2019/04/02,中日,広島,7,4,バンテリンドーム
2019,2019/04/02,楽天,日本ハム,3,1,楽天モバイルパーク
2019,2019/04/02,西武,ロッテ,7,4,ベルーナドーム
2019,2019/04/02,オリックス,ソフトバンク,4,11,京セラドーム
2019,2019/04/03,巨人,阪神,6,3,東京ドーム
2019,2019/04/03,ヤクルト,DeNA,5,4,神宮球場
2019,2019/04/03,中日,広島,2,3,バンテリンドーム
2019,2019/04/03,楽天,日本ハム,3,2,楽天モバイルパーク
2019,2019/04/03,西武,ロッテ,9,3,ベルーナドーム
2019,2019/04/03,オリックス,ソフトバンク,0,0,京セラドーム
2019,2019/04/04,巨人,阪神,10,1,東京ドーム
2019,2019/04/04,ヤクルト,DeNA,5,10,神宮球場
2019,2019/04/04,中日,広島,3,2,バンテリンドーム
2019,2019/04/04,楽天,日本ハム,11,2,楽天モバイルパーク
2019,2019/04/04,西武,ロッテ,8,6,ベルーナドーム
2019,2019/04/04,オリックス,ソフトバンク,0,3,京セラドーム
2019,2019/04/05,ヤクルト,中日,8,7,神宮球場
2019,2019/04/05,DeNA,巨人,2,3,横浜スタジアム
2019,2019/04/05,広島,阪神,2,3,マツダスタジアム
2019,2019/04/05,日本ハム,西武,5,2,札幌ドーム
2019,2019/04/05,オリックス,楽天,2,0,京セラドーム
2019,2019/04/05,ソフトバンク,ロッテ,3,7,PayPayドーム
2019,2019/04/06,ヤクルト,中日,4,3,神宮球場
2019,2019/04/06,DeNA,巨人,9,2,横浜スタジアム
2019,2019/04/06,広島,阪神,10,3,マツダスタジアム
2019,2019/04/06,日本ハム,西武,3,16,札幌ドーム
