rank,team,G,W,L,D,WPCT,差,首位差,残試合,貯金,連勝連敗,RS,RS_avg,RA,RA_avg,RD,AVG,HR,SB,ERA,league,year
1,ヤクルト,143,76,65,2,0.539,優勝,-,0,11,● 1,574,4.01,518,3.62,56,0.257,107,83,3.31,CL,2015
2,巨人,143,75,67,1,0.528,1.5,1.5,0,8,○ 3,489,3.42,443,3.1,46,0.243,98,99,2.78,CL,2015
3,阪神,143,70,71,2,0.496,4.5,6.0,0,-1,● 2,465,3.25,550,3.85,-85,0.247,78,48,3.47,CL,2015
4,広島,143,69,71,3,0.493,0.5,6.5,0,-2,● 1,506,3.54,474,3.31,32,0.246,105,80,2.92,CL,2015
5,中日,143,62,77,4,0.446,6.5,13.0,0,-15,○ 1,473,3.31,504,3.52,-31,0.253,71,88,3.19,CL,2015
6,DeNA,143,62,80,1,0.437,1.5,14.5,0,-18,● 4,508,3.55,598,4.18,-90,0.249,112,57,3.8,CL,2015
1,ソフトバンク,143,90,49,4,0.647,優勝,-,0,41,● 1,651,4.55,491,3.43,160,0.267,141,94,3.16,PL,2015
2,日本ハム,143,79,62,2,0.56,12.0,12.0,0,17,● 4,615,4.3,581,4.06,34,0.258,106,134,3.62,PL,2015
3,ロッテ,143,73,69,1,0.514,6.5,18.5,0,4,○ 4,561,3.92,563,3.94,-2,0.257,85,71,3.69,PL,2015
4,西武,143,69,69,5,0.5,2.0,20.5,0,0,● 1,631,4.41,573,4.01,58,0.263,136,66,3.69,PL,2015
5,オリックス,143,61,80,2,0.433,9.5,30.0,0,-19,○ 2,519,3.63,548,3.83,-29,0.249,94,88,3.59,PL,2015
6,楽天,143,57,83,3,0.407,3.5,33.5,0,-26,● 1,463,3.24,612,4.28,-149,0.241,85,118,3.82,PL,2015
1,広島,143,89,52,2,0.631,優勝,-,0,37,○ 3,684,4.78,497,3.48,187,0.272,153,118,3.2,CL,2016
2,巨人,143,71,69,3,0.507,17.5,17.5,0,2,● 3,519,3.63,543,3.8,-24,0.251,128,62,3.45,CL,2016
3,DeNA,143,69,71,3,0.493,2.0,19.5,0,-2,● 2,572,4.0,588,4.11,-16,0.249,140,67,3.76,CL,2016
4,阪神,143,64,76,3,0.457,5.0,24.5,0,-12,○ 7,506,3.54,546,3.82,-40,0.245,90,59,3.38,CL,2016
5,ヤクルト,143,64,78,1,0.451,1.0,25.5,0,-14,● 1,594,4.15,694,4.85,-100,0.256,113,82,4.73,CL,2016
6,中日,143,58,82,3,0.414,5.0,30.5,0,-24,● 6,500,3.5,573,4.01,-73,0.245,89,60,3.65,CL,2016
1,日本ハム,143,87,53,3,0.621,優勝,-,0,34,○ 2,619,4.33,467,3.27,152,0.266,121,132,3.06,PL,2016
2,ソフトバンク,143,83,54,6,0.606,2.5,2.5,0,29,● 1,637,4.45,479,3.35,158,0.261,114,107,3.09,PL,2016
